0,76368,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,410.96
2,62494,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,215.59
6,98077,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,90.55
8,85882,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,490.39
10,59384,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,161.31
14,96361,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,201.14
15,67424,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port coppe,354.99
16,93634,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,365.5
19,62756,ENT-24-40F,Enterprise Switch 40GigE SFP+ 24 port ,190.77
20,99453,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,351.48
22,83685,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,420.78
26,63254,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,14.74
27,99972,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,242.62
29,93441,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,439.8
30,96242,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,15.64
32,98965,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,228.6
33,87899,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port coppe,83.25
37,98561,ENT-24-40F,Enterprise Switch 40GigE SFP+ 24 port ,195.56
40,95429,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,403.42
43,84716,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port coppe,218.67
44,82044,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,15.36
45,71844,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,268.66
48,64102,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,264.89
50,69015,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,219.75
51,77970,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port coppe,190.81
52,83041,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,315.24
53,91519,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,476.38
57,77745,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,414.45
58,65928,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,83.46
62,69493,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,425.01
65,92275,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,148.39
70,98585,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,377.27
72,98034,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,329.47
81,85099,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,366.94
82,87505,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,115.64
83,91700,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,450.77
84,77402,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,383.39
85,76719,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,460.13
86,97535,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,472.16
93,84309,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,221.07
95,83234,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,169.6
98,83294,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,26.4
99,59996,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,111.61
101,74216,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,318.45
107,97358,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,418.72
108,87349,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,96.22
